sample_id,p1,p3,stored_h,reconstructed_h,absolute_error,mode
sci_0265,0.2676,0.0533,0.1911,0.1911,0.0,PARTIAL_RENORMALIZED
sci_0266,0.0991,0.0168,0.0697,0.0697,0.0,PARTIAL_RENORMALIZED
sci_0267,0.7385,0.0596,0.4961,0.4961,0.0,PARTIAL_RENORMALIZED
sci_0268,1.0,0.0876,0.6742,0.6742,0.0,PARTIAL_RENORMALIZED
sci_0269,0.3663,0.0697,0.2604,0.2604,0.0,PARTIAL_RENORMALIZED
sci_0270,0.5112,0.1848,0.3946,0.3946,0.0,PARTIAL_RENORMALIZED
sci_0271,0.0,0.2525,0.0902,0.0902,0.0,PARTIAL_RENORMALIZED
sci_0272,1.0,0.0786,0.671,0.671,0.0,PARTIAL_RENORMALIZED
sci_0273,0.2453,0.0519,0.1762,0.1762,0.0,PARTIAL_RENORMALIZED
sci_0274,0.25,0.141,0.2111,0.2111,0.0,PARTIAL_RENORMALIZED
sci_0275,0.4601,0.302,0.4036,0.4036,0.0,PARTIAL_RENORMALIZED
sci_0276,0.7971,0.2776,0.6116,0.6116,0.0,PARTIAL_RENORMALIZED
sci_0277,0.2819,0.057,0.2016,0.2016,0.0,PARTIAL_RENORMALIZED
sci_0278,0.5,0.084,0.3514,0.3514,0.0,PARTIAL_RENORMALIZED
sci_0279,0.4999,0.1616,0.3791,0.3791,0.0,PARTIAL_RENORMALIZED
sci_0280,1.0,0.4742,0.8122,0.8122,0.0,PARTIAL_RENORMALIZED
sci_0281,0.3321,0.0402,0.2279,0.2279,0.0,PARTIAL_RENORMALIZED
sci_0282,0.5,0.0037,0.3228,0.3228,0.0,PARTIAL_RENORMALIZED
sci_0283,0.5774,0.1856,0.4375,0.4375,0.0,PARTIAL_RENORMALIZED
sci_0284,1.0,0.086,0.6736,0.6736,0.0,PARTIAL_RENORMALIZED
sci_0285,0.1946,0.0698,0.15,0.15,0.0,PARTIAL_RENORMALIZED
sci_0286,0.5,0.0038,0.3228,0.3228,0.0,PARTIAL_RENORMALIZED
sci_0287,0.4999,0.3093,0.4318,0.4318,0.0,PARTIAL_RENORMALIZED
sci_0288,1.0,0.0874,0.6741,0.6741,0.0,PARTIAL_RENORMALIZED
sci_0289,0.4495,0.0539,0.3082,0.3082,0.0,PARTIAL_RENORMALIZED
sci_0290,0.5,0.0486,0.3388,0.3388,0.0,PARTIAL_RENORMALIZED
sci_0291,0.0395,0.0412,0.0401,0.0401,0.0,PARTIAL_RENORMALIZED
sci_0292,0.0,0.2149,0.0767,0.0767,0.0,PARTIAL_RENORMALIZED
sci_0293,0.2407,0.0561,0.1748,0.1748,0.0,PARTIAL_RENORMALIZED
sci_0294,0.0744,0.0022,0.0486,0.0486,0.0,PARTIAL_RENORMALIZED
sci_0295,0.7338,0.3159,0.5846,0.5846,0.0,PARTIAL_RENORMALIZED
sci_0296,1.0,0.1734,0.7048,0.7048,0.0,PARTIAL_RENORMALIZED
sci_0297,0.1117,0.0636,0.0945,0.0945,0.0,PARTIAL_RENORMALIZED
sci_0298,0.5,0.0067,0.3238,0.3238,0.0,PARTIAL_RENORMALIZED
